въпрос,а,б,в,г,верен отговор
 Каква е функцията на гладката мускулна тъкан в пикочния мехур?,Да регулира кръвното налягане.,Да разгражда хранителни вещества.,При съкращение изхвърля урината навън.,Да съхранява хормони.,При съкращение изхвърля урината навън.
 Какво е разположението на бъбречната артерия и бъбречната вена?,"Бъбречната артерия излиза, а бъбречната вена навлиза.",Бъбречната артерия и бъбречната вена навлизат едновременно.,"Бъбречната артерия навлиза, а бъбречната вена излиза.","Бъбречната артерия излиза, а бъбречната вена също излиза.","Бъбречната артерия навлиза, а бъбречната вена излиза."
 Какво се случва в бъбречното легенче?,Разграждат се хранителни вещества.,Образува се урина.,Събира се и отвежда урината към пикочопроводите.,Произвеждат се хормони.,Събира се и отвежда урината към пикочопроводите.
 Какво е нефронът?,Голям орган в бъбрека.,Малка част от пикочопровода.,Основната структурна и функционална единица на бъбрека.,Основна част от пикочния мехур.,Основната структурна и функционална единица на бъбрека.
 Какво прави капилярното клъбце в нефрона?,Произвежда хормони.,Регулира телесната температура.,Участва в филтрацията на кръвната плазма.,Разгражда белтъци.,Участва в филтрацията на кръвната плазма.
 Къде се намират бъбречните пирамиди?,В пикочния мехур.,В кората на бъбрека.,В сърцевината на бъбрека.,В пикочопроводите.,В сърцевината на бъбрека.
 Каква е функцията на мастната капсула около бъбреците?,Да регулира телесната температура.,Да разгражда белтъци.,Да прикрепва бъбреците и ги защитава от удари и сътресения.,Да съхранява урина.,Да прикрепва бъбреците и ги защитава от удари и сътресения.
 Какви процеси се извършват в нефрона?,Само филтрация.,Само обратно всмукване.,"Филтрация, обратно всмукване и секреция.",Само секреция.,"Филтрация, обратно всмукване и секреция."
 Какво представлява първичната урина?,Крайният продукт на урината.,"Филтрат от кръвната плазма, съдържащ вода, минерални соли, аминокиселини, глюкоза и урея.","Течност, която не съдържа никакви вещества.",Само вода и минерални соли.,"Филтрат от кръвната плазма, съдържащ вода, минерални соли, аминокиселини, глюкоза и урея."
 Какво съдържа вторичната урина?,Само вода.,Само минерални соли.,"Вода, соли, урея и пикочна киселина.",Само аминокиселини.,"Вода, соли, урея и пикочна киселина."
" Какъв е пътят на урината, образувана от нефроните?",През черния дроб.,През стомаха.,През бъбречното легенче към пикочопроводите и пикочния мехур.,През сърцето.,През бъбречното легенче към пикочопроводите и пикочния мехур.
 Защо входящата артериола е по-широка от изходящата?,За да се увеличи обемът на урината.,За да се намали обемът на урината.,За да се поддържа високо кръвно налягане в капилярното клъбце.,За да се регулира телесната температура.,За да се поддържа високо кръвно налягане в капилярното клъбце.
 Какво представлява нефронът?,Голяма структура в бъбрека.,Малък орган в пикочния мехур.,"Микроскопично тръбесто образувание, основна структурна и функционална единица на бъбрека.",Част от пикочопровода.,"Микроскопично тръбесто образувание, основна структурна и функционална единица на бъбрека."
 Какво съдържа филтърът на кръвната плазма?,Само вода.,Само белтъци.,"Вода, минерални соли, аминокиселини, глюкоза и урея.",Само урея.,"Вода, минерални соли, аминокиселини, глюкоза и урея."
 Какво подпомага обратното всмукване на полезните вещества в кръвта?,Артериите в сърцето.,Мускулите на стомаха.,Гъстата капилярна мрежа около извитото каналче.,Лимфната система.,Гъстата капилярна мрежа около извитото каналче.
 Какво количество вторична урина се образува за денонщие?,"0,5 литра.",1 литър.,"1,5 литра.",2 литра.,"1,5 литра."
 Какво се образува чрез процеса на секреция в нефрона?,Първична урина.,Вторична урина.,Крайна урина.,Белтъци.,Крайна урина.
 Каква е функцията на нефрона?,Производство на хормони.,Регулиране на телесната температура.,"Филтрация, обратно всмукване и секреция на вещества за образуване на урина.",Съхранение на вода.,"Филтрация, обратно всмукване и секреция на вещества за образуване на урина."
 Как се връщат полезните вещества като глюкоза и аминокиселини в кръвта?,Чрез филтрация в пикочопровода.,Чрез активно транспортиране в пикочния мехур.,Чрез обратно всмукване през стената на извитото каналче.,Чрез дифузия в артериите.,Чрез обратно всмукване през стената на извитото каналче.
" Какво съдържа вторичната урина, образувана в нефроните?",Само вода.,"Вода, соли, урея и пикочна киселина.",Само минерални соли.,Само аминокиселини и глюкоза.,"Вода, соли, урея и пикочна киселина"
 Какво се случва в бъбречното легенче?,Урината се събира и отвежда към пикочопроводите.,Хранителни вещества се разграждат.,Кръвта се пречиства.,Произвеждат се хормони.,Урината се събира и отвежда към пикочопроводите.
 Какво е разположението на бъбречната артерия и бъбречната вена?,"Бъбречната артерия излиза, а бъбречната вена навлиза.",Бъбречната артерия и бъбречната вена навлизат едновременно.,"Бъбречната артерия навлиза, а бъбречната вена излиза.","Бъбречната артерия излиза, а бъбречната вена също излиза.","Бъбречната артерия навлиза, а бъбречната вена излиза."
 Какво прави бъбречното легенче?,Разгражда хранителни вещества.,Пречиства кръвта.,Събира и отвежда урината към пикочопроводите.,Съхранява хормони.,Събира и отвежда урината към пикочопроводите.
 Какво е нефронът?,Голям орган в бъбрека.,Малка част от пикочопровода.,Основната структурна и функционална единица на бъбрека.,Основна част от пикочния мехур.,Основната структурна и функционална единица на бъбрека.
 Какво прави капилярното клъбце в нефрона?,Произвежда хормони.,Регулира телесната температура.,Участва в филтрацията на кръвната плазма.,Разгражда белтъци.,Участва в филтрацията на кръвната плазма.
 Къде се намират бъбречните пирамиди?,В пикочния мехур.,В кората на бъбрека.,В сърцевината на бъбрека.,В пикочопроводите.,В сърцевината на бъбрека.
Какво представлява нефронът?,Голям орган в пикочната система.,Малка част от пикочопровода.,Основната структурна и функционална единица на бъбрека.,Основна част от пикочния мехур.,Основната структурна и функционална единица на бъбрека.
Колко нефрони има в бъбреците?,Над 1 милион.,Над 2 милиона.,Над 3 милиона.,Над 4 милиона.,Над 2 милиона.
Как е изграден нефронът?,От пикочопровод и пикочен мехур.,От артерия и вена.,"От капилярно клъбце, обвиваща го капсула и извито каналче.",От уретра и уретер.,"От капилярно клъбце, обвиваща го капсула и извито каналче."
С какво е свързано капилярното клъбце?,С бъбречното легенче.,С пикочопровода.,С входяща и изходяща артериола.,С пикочния мехур.,С входяща и изходяща артериола.
Защо входящата артериола е по-широка от изходящата?,За да се намали кръвното налягане.,За да се увеличи обемът на урината.,За да се поддържа високо кръвно налягане в капилярното клъбце.,За да се регулира телесната температура.,За да се поддържа високо кръвно налягане в капилярното клъбце.
Какви процеси се извършват в нефрона?,Само филтрация.,Само обратно всмукване.,"Филтрация, обратно всмукване и секреция.",Само секреция.,"Филтрация, обратно всмукване и секреция."
Къде се извършва филтрацията на кръвната плазма?,В пикочния мехур.,В пикочопровода.,През стената на капилярите в клъбцето и вътрешната стена на капсулата.,В артериолите.,През стената на капилярите в клъбцето и вътрешната стена на капсулата.
Какви вещества могат да преминат през филтъра при филтрация?,Само белтъци.,Вода и вещества с малка молекулна маса.,Само глюкоза.,Само аминокиселини.,Вода и вещества с малка молекулна маса.
Какво съдържа първичната урина?,Само вода.,"Вода, минерални соли, аминокиселини, глюкоза, урея.",Само минерални соли.,Само аминокиселини и глюкоза.,"Вода, минерални соли, аминокиселини, глюкоза, урея."
 Защо няма белтъци в първичната урина?,Защото белтъците не се произвеждат в бъбреците.,Защото белтъците имат голяма молекулна маса и не могат да преминат през филтъра.,Защото белтъците се разграждат в пикочния мехур.,Защото белтъците се абсорбират в пикочопроводите.,Защото белтъците имат голяма молекулна маса и не могат да преминат през филтъра.
 Как се връщат полезните вещества в кръвта?,Чрез дифузия в пикочния мехур.,Чрез обратно всмукване през стената на извитото каналче.,Чрез активен транспорт в артериолите.,Чрез филтрация в пикочопроводите.,Чрез обратно всмукване през стената на извитото каналче.
 Какво съдържа вторичната урина?,Само вода.,"Вода, соли, урея и пикочна киселина.",Само аминокиселини и глюкоза.,Само минерални соли.,"Вода, соли, урея и пикочна киселина."
 Как протича секрецията в нефрона?,Чрез дифузия в пикочния мехур.,Чрез активен транспорт в артериолите.,"Клетките, изграждащи стената на бъбречните каналчета, отделят в кухината им някои от приетите лекарства, амоняк и други вещества.",Чрез филтрация в пикочопроводите.,"Клетките, изграждащи стената на бъбречните каналчета, отделят в кухината им някои от приетите лекарства, амоняк и други вещества."
 Какво се образува чрез секрецията в нефрона?,Първична урина.,Вторична урина.,Крайна урина.,Белтъци.,Крайна урина.
 Колко крайна урина се образува за денонщие?,"0,5 литра.",1 литър.,"1,5 литра.",2 литра.,"1,5 литра."
" Какъв е пътят на урината, образувана от всички нефрони на бъбрека?",През черния дроб.,През стомаха.,През бъбречното легенче към пикочопроводите и пикочния мехур.,През сърцето.,През бъбречното легенче към пикочопроводите и пикочния мехур.
 Какво съдържа филтърът на кръвната плазма?,Само вода.,Само белтъци.,"Вода, минерални соли, аминокиселини, глюкоза и урея.",Само урея.,"Вода, минерални соли, аминокиселини, глюкоза и урея."
 Какво подпомага обратното всмукване на полезните вещества в кръвта?,Артериите в сърцето.,Мускулите на стомаха.,Гъстата капилярна мрежа около извитото каналче.,Лимфната система.,Гъстата капилярна мрежа около извитото каналче.
 Каква е функцията на капилярното клъбце в нефрона?,Произвежда хормони.,Регулира телесната температура.,Филтрира кръвната плазма.,Съхранява урина.,Филтрира кръвната плазма.
 Какво представлява обратното всмукване в нефрона?,Процесът на филтрация на кръвната плазма.,Процесът на връщане на полезни вещества в кръвта.,Процесът на отделяне на урина.,Процесът на образуване на белтъци.,Процесът на връщане на полезни вещества в кръвта.
 Какво количество първична урина се образува за денонщие?,10-15 литра.,15-20 литра.,20-25 литра.,25-30 литра.,15-20 литра.
 Каква е разликата между първична и вторична урина?,"Първичната урина съдържа белтъци, а вторичната - не.",Вторичната урина съдържа всички полезни вещества.,"Първичната урина съдържа вода, соли, аминокиселини и глюкоза, а вторичната урина съдържа вода, соли, урея и пикочна киселина.",Няма разлика.,"Първичната урина съдържа вода, соли, аминокиселини и глюкоза, а вторичната урина съдържа вода, соли, урея и пикочна киселина."
 Какво представлява процесът на секреция в нефрона?,Процесът на филтрация на кръвната плазма.,Процесът на обратно всмукване на полезни вещества.,Процесът на отделяне на вещества от клетките на бъбречните каналчета в урината.,Процесът на образуване на белтъци.,Процесът на отделяне на вещества от клетките на бъбречните каналчета в урината.
 Каква е функцията на извитото каналче в нефрона?,Да произвежда хормони.,Да филтрира кръвната плазма.,Да осъществява обратно всмукване на полезни вещества.,Да съхранява урина.,Да осъществява обратно всмукване на полезни вещества.
 Каква е ролята на високото кръвно налягане в капилярното клъбце?,Да разгражда белтъци.,Да осъществява филтрация на кръвната плазма.,Да намалява обема на урината.,Да регулира телесната температура.,Да осъществява филтрация на кръвната плазма.
 Каква е функцията на капсулата на нефрона?,Да съхранява урина.,Да произвежда хормони.,Да обвива капилярното клъбце и да участва във филтрацията.,Да разгражда белтъци.,Да обвива капилярното клъбце и да участва във филтрацията.
 Каква е функцията на гъстата капилярна мрежа около извитото каналче?,Да регулира телесната температура.,Да разгражда белтъци.,Да подпомага обратното всмукване на полезни вещества.,Да съхранява урина.,Да подпомага обратното всмукване на полезни вещества.
 Какво се случва с филтъра на кръвната плазма при бъбречни заболявания?,Става по-пропусклив за белтъци.,Става по-малко пропусклив за вода.,Става по-малко пропусклив за урея.,Става по-пропусклив за глюкоза.,Става по-пропусклив за белтъци.
 Какъв е ефектът на повишеното кръвно налягане върху образуването на урина?,Намалява обема на урината.,Увеличава обема на урината.,Няма ефект върху обема на урината.,Намалява концентрацията на урея в урината.,Увеличава обема на урината.
 Каква е функцията на нефроните в регулирането на водно-солевия баланс?,Да разграждат белтъци.,Да съхраняват урина.,Да регулират обратното всмукване на вода и соли.,Да произвеждат хормони.,Да регулират обратното всмукване на вода и соли.
 Каква е основната функция на бъбреците?,Производство на хормони.,Разграждане на хранителни вещества.,Образуване на урина.,Регулиране на кръвната захар.,Образуване на урина.
 Какво представлява първичната урина?,Крайният продукт на урината.,Филтрат от кръвната плазма.,Течност без никакви вещества.,Само вода и минерални соли.,Филтрат от кръвната плазма.
 Какво количество първична урина се образува на ден?,5-10 литра.,10-15 литра.,15-20 литра.,20-25 литра.,15-20 литра.
 Каква е функцията на капилярното клъбце в нефрона?,Да произвежда хормони.,Да регулира телесната температура.,Да филтрира кръвната плазма.,Да съхранява урина.,Да филтрира кръвната плазма.
 Какво представлява процесът на секреция в нефрона?,Процесът на филтрация на кръвната плазма.,Процесът на обратно всмукване на полезни вещества.,Процесът на отделяне на вещества от клетките на бъбречните каналчета в урината.,Процесът на образуване на белтъци.,Процесът на отделяне на вещества от клетките на бъбречните каналчета в урината.
 Каква е функцията на извитото каналче в нефрона?,Да произвежда хормони.,Да филтрира кръвната плазма.,Да осъществява обратно всмукване на полезни вещества.,Да съхранява урина.,Да осъществява обратно всмукване на полезни вещества.
 Каква е ролята на високото кръвно налягане в капилярното клъбце?,Да разгражда белтъци.,Да осъществява филтрация на кръвната плазма.,Да намалява обема на урината.,Да регулира телесната температура.,Да осъществява филтрация на кръвната плазма.
 Каква е функцията на капсулата на нефрона?,Да съхранява урина.,Да произвежда хормони.,Да обвива капилярното клъбце и да участва във филтрацията.,Да разгражда белтъци.,Да обвива капилярното клъбце и да участва във филтрацията.
 Каква е функцията на гъстата капилярна мрежа около извитото каналче?,Да регулира телесната температура.,Да разгражда белтъци.,Да подпомага обратното всмукване на полезни вещества.,Да съхранява урина.,Да подпомага обратното всмукване на полезни вещества.
 Какво се случва с филтъра на кръвната плазма при бъбречни заболявания?,Става по-пропусклив за белтъци.,Става по-малко пропусклив за вода.,Става по-малко пропусклив за урея.,Става по-пропусклив за глюкоза.,Става по-пропусклив за белтъци.
 Какъв е ефектът на повишеното кръвно налягане върху образуването на урина?,Намалява обема на урината.,Увеличава обема на урината.,Няма ефект върху обема на урината.,Намалява концентрацията на урея в урината.,Увеличава обема на урината.
 Каква е функцията на нефроните в регулирането на водно-солевия баланс?,Да разграждат белтъци.,Да съхраняват урина.,Да регулират обратното всмукване на вода и соли.,Да произвеждат хормони.,Да регулират обратното всмукване на вода и соли.
 Какво представлява крайната урина?,Филтрат от кръвната плазма.,"Течност, съдържаща всички полезни вещества.","Вода, соли, урея и пикочна киселина.",Само вода.,"Вода, соли, урея и пикочна киселина."
 Каква е функцията на пикочопроводите?,Да разграждат белтъци.,Да регулират телесната температура.,Да транспортират урината от бъбречното легенче до пикочния мехур.,Да съхраняват урина.,Да транспортират урината от бъбречното легенче до пикочния мехур.
" Какво е общото количество урина, което се отделя на ден?","0,5 литра.",1 литър.,"1,5 литра.",2 литра.,"1,5 литра."
 Каква е ролята на пикочния мехур?,Да разгражда белтъци.,Да регулира телесната температура.,Да съхранява и изхвърля урината.,Да произвежда хормони.,Да съхранява и изхвърля урината.
 Какъв е размерът на пикочопроводите?,"Дължина 20 см, ширина 6 мм.","Дължина 25 см, ширина 7 мм.","Дължина 30 см, ширина 8 мм.","Дължина 35 см, ширина 9 мм.","Дължина 30 см, ширина 8 мм."
 Каква е структурата на стената на пикочопроводите?,Костна тъкан.,Мускулна тъкан.,Съединителна тъкан.,Епителна тъкан.,Мускулна тъкан.
 Каква е функцията на гладката мускулна тъкан в пикочния мехур?,Да регулира кръвното налягане.,Да разгражда хранителни вещества.,При съкращение изхвърля урината навън.,Да съхранява хормони.,При съкращение изхвърля урината навън.
" Какво се случва с урината, образувана от всички нефрони на бъбрека?",През черния дроб.,През стомаха.,През бъбречното легенче към пикочопроводите и пикочния мехур.,През сърцето.,През бъбречното легенче към пикочопроводите и пикочния мехур.
 Какво е разположението на бъбречната артерия и бъбречната вена?,"Бъбречната артерия излиза, а бъбречната вена навлиза.",Бъбречната артерия и бъбречната вена навлизат едновременно.,"Бъбречната артерия навлиза, а бъбречната вена излиза.","Бъбречната артерия излиза, а бъбречната вена също излиза.","Бъбречната артерия навлиза, а бъбречната вена излиза."
 Какво прави бъбречното легенче?,Разгражда хранителни вещества.,Пречиства кръвта.,Събира и отвежда урината към пикочопроводите.,Съхранява хормони.,Събира и отвежда урината към пикочопроводите.
 Какво е нефронът?,Голям орган в бъбрека.,Малка част от пикочопровода.,Основната структурна и функционална единица на бъбрека.,Основна част от пикочния мехур.,Основната структурна и функционална единица на бъбрека.
 Какво прави капилярното клъбце в нефрона?,Произвежда хормони.,Регулира телесната температура.,Участва в филтрацията на кръвната плазма.,Разгражда белтъци.,Участва в филтрацията на кръвната плазма.
 Къде се намират бъбречните пирамиди?,В пикочния мехур.,В кората на бъбрека.,В сърцевината на бъбрека.,В пикочопроводите.,В сърцевината на бъбрека.
 Каква е функцията на мастната капсула около бъбреците?,Да регулира телесната температура.,Да разгражда белтъци.,Да прикрепва бъбреците и ги защитава от удари и сътресения.,Да съхранява урина.,Да прикрепва бъбреците и ги защитава от удари и сътресения.
 Какви процеси се извършват в нефрона?,Само филтрация.,Само обратно всмукване.,"Филтрация, обратно всмукване и секреция.",Само секреция.,"Филтрация, обратно всмукване и секреция."
 Какво представлява първичната урина?,Крайният продукт на урината.,"Филтрат от кръвната плазма, съдържащ вода, минерални соли, аминокиселини, глюкоза и урея.","Течност, която не съдържа никакви вещества.",Само вода и минерални соли.,"Филтрат от кръвната плазма, съдържащ вода, минерални соли, аминокиселини, глюкоза и урея."
 Какво съдържа вторичната урина?,Само вода.,Само минерални соли.,"Вода, соли, урея и пикочна киселина.",Само аминокиселини.,"Вода, соли, урея и пикочна киселина."
 Какво представлява крайният продукт на урината?,"Вода, соли, урея и пикочна киселина.",Само вода и соли.,Само аминокиселини и глюкоза.,Само минерални соли и белтъци.,"Вода, соли, урея и пикочна киселина."
Каква е дължината на пикочопроводите?,20 см,25 см,30 см,35 см,30 см
Каква е ширината на пикочопроводите?,6 мм,7 мм,8 мм,9 мм,8 мм
Какво съдържа стената на пикочопроводите?,Костна тъкан,Мускулна тъкан,Епителна тъкан,Съединителна тъкан,Мускулна тъкан
Каква е функцията на мускулния слой в пикочопроводите?,Да разгражда урея,Да съхранява урина,Чрез перисталтични движения подпомага движението на урината към пикочния мехур,Да регулира кръвното налягане,Чрез перисталтични движения подпомага движението на урината към пикочния мехур
Какво представлява пикочният мехур?,Кух орган с резервоарна функция,Солиден орган,Жлезист орган,Тъканен орган,Кух орган с резервоарна функция
Каква е функцията на гладката мускулна тъкан в пикочния мехур?,Да разгражда белтъци,Да съхранява глюкоза,При съкращение изхвърля урината навън,Да абсорбира вода,При съкращение изхвърля урината навън
Къде се намира пикочният мехур?,В горната част на корема,В малкия таз,В черния дроб,В бъбреците,В малкия таз
Как е изграден пикочният мехур?,Състои се от два отвора,Състои се от четири отвора,Състои се от три отвора,Състои се от пет отвора,Състои се от три отвора
Каква е функцията на пикочния канал?,Да съхранява урина,Да разгражда белтъци,Да отвежда урината от пикочния мехур навън,Да регулира кръвното налягане,Да отвежда урината от пикочния мехур навън
 Какво има в началото на пикочния канал?,Епителна тъкан,Костна структура,"Кръгов мускул (сфинктер), който регулира отделянето и задържането на урината",Жлезиста тъкан,"Кръгов мускул (сфинктер), който регулира отделянето и задържането на урината"
 Какво представлява перисталтичните движения в пикочопроводите?,"Съкращение и отпускане на мускулите, което подпомага движението на урината",Разширяване на кръвоносните съдове,Намаляване на обема на пикочопроводите,Секреция на хормони,"Съкращение и отпускане на мускулите, което подпомага движението на урината"
 Как се регулира отделянето на урина?,Чрез нервни сигнали и сфинктери,Чрез хормони,Чрез телесна температура,Чрез кръвно налягане,Чрез нервни сигнали и сфинктери
 Каква е функцията на гладката мускулна тъкан в пикочопроводите?,Да абсорбира хранителни вещества,Да съхранява урина,Чрез перисталтични движения подпомага движението на урината към пикочния мехур,Да разгражда белтъци,Чрез перисталтични движения подпомага движението на урината към пикочния мехур
 Каква е ролята на сфинктера в началото на пикочния канал?,Да разгражда хранителни вещества,Да регулира отделянето и задържането на урината,Да увеличава кръвното налягане,Да абсорбира вода,Да регулира отделянето и задържането на урината
 Какво е разположението на пикочния мехур при мъжете?,Над простатната жлеза,Под простатната жлеза,В страни от простатната жлеза,В средата на простатната жлеза,Над простатната жлеза
 Какво е разположението на пикочния мехур при жените?,Над матката,Под матката,Пред матката,Зад матката,Пред матката
 Каква е функцията на пикочния канал при мъжете?,Само да отвежда урината,Само да отвежда сперма,"Да отвежда както урината, така и спермата",Да съхранява урина,"Да отвежда както урината, така и спермата"
 Каква е функцията на пикочния канал при жените?,Да отвежда урината и спермата,Само да отвежда урината,Да съхранява урина,Да регулира кръвното налягане,Само да отвежда урината
 Какъв е ефектът на хормоните върху регулирането на уринирането?,Нямат ефект,Само увеличават уринирането,Само намаляват уринирането,"Могат както да увеличават, така и да намаляват уринирането","Могат както да увеличават, така и да намаляват уринирането"
 Какво предизвиква разтягането на пикочния мехур?,Увеличава абсорбцията на вода,Увеличава разграждането на белтъци,"Стимулира нервни сигнали, които предизвикват усещане за нужда от уриниране",Намалява кръвното налягане,"Стимулира нервни сигнали, които предизвикват усещане за нужда от уриниране"
 Какво е ролята на автономната нервна система в регулирането на уринирането?,Регулира кръвното налягане,Регулира телесната температура,Контролира съкращенията на гладката мускулна тъкан в пикочния мехур и сфинктерите,Регулира храносмилането,Контролира съкращения
 Какво предизвиква доброволното отпускане на външния сфинктер на пикочния канал?,Абсорбция на вода,Разграждане на белтъци,Изпразване на пикочния мехур,Увеличаване на кръвното налягане,Изпразване на пикочния мехур
 Какво е ефектът на кофеина върху уринирането?,Намалява уринирането,Няма ефект върху уринирането,Увеличава уринирането,Увеличава абсорбцията на вода,Увеличава уринирането
 Какво предизвиква намаляване на уринирането?,Увеличаване на приема на вода,Намаляване на приема на сол,Повишаване на антидиуретичния хормон (ADH),Увеличаване на кофеина,Повишаване на антидиуретичния хормон (ADH)
 Какво представлява нощното уриниране (ноктурия)?,Уриниране само през деня,Уриниране през нощта,Уриниране само сутрин,Липса на уриниране през нощта,Уриниране през нощта
